,popularity,runtime,vote_average,vote_count,has_tagline,release_year,release_month,is_indie,log_budget,is_mid_budget,is_summer,is_holiday,is_dump_month,month_sin,month_cos,decade,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_Thriller,genre_War,genre_Western,is_franchise_genre,is_drama_only,has_superhero,has_sequel,has_imax,has_3d,has_franchise,has_dystopia,has_novel_adaptation,has_independent,tagline_length,tagline_word_count,is_english,director_film_count,director_median_revenue,actor1_median_revenue,is_top_director,is_top_actor,is_unknown_director,is_major_studio,studio_count,is_co_production,is_long_film,is_short_film,vote_reliability,log_vote_count
3899,-0.7778428686691073,-0.1089691311151959,-6.416324493393157,-0.6241872241681865,1,-0.2576203273251764,0.9035169962443892,0,-1.598040611834918,0,0,0,0,-1.1039533203043368,0.7051619480543181,-0.6052315553367766,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.7016367670611252,1.2397800818812306,1,-0.8228302160912931,-0.45081000205104355,-0.49500952891680766,0,0,0,0,-0.94710618849287,0,0,0,0,-3.5405311286789014
2147,-0.37741549160283927,-0.8831452762654267,0.6848530576502091,-0.40916385287193935,1,-1.5143391697611641,-1.16131422170023,0,-0.24305268796049762,1,0,0,0,1.5261170757383973,-0.009327447026668153,-1.3650523754101704,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.460850413800594,2.458635057023508,1,1.879542258647504,-0.11905246874888632,-0.3598358330187111,0,0,0,1,-0.500349896772829,1,0,0,1,-0.030284800849601393
3352,-0.5166372452265695,0.7619790321788138,0.27319059092305714,-0.5857638038678261,1,0.44928402154506664,0.018589331410981062,0,0.46331409415125124,0,1,0,0,-0.5880586402315634,-1.2468593807760893,0.15458926473661724,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.41097356760402814,0.42721009845304597,0,-0.33148976613878467,0.8065759091938973,-0.2014024208371864,0,0,0,0,0.8399189783872938,1,0,0,0,-1.08548320949876
1022,0.39054647449339314,0.37489095960369834,0.1702749742412696,0.031227656724497996,1,1.0776434427630606,-0.2763865568668217,0,-0.4247913740818967,0,1,0,0,0.11666659842509014,-1.4383062371886408,0.9144100848100111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.7278469025051751,-0.791644876689231,1,-0.08581954116253038,-0.6171330011430028,-0.8062773799945699,0,0,0,0,0.39316268666725285,1,0,0,1,0.6574601812582885
785,0.17087490888789567,1.2942251319695974,0.06735935755948116,0.24994558766501052,1,-0.33616525497742566,0.018589331410981062,0,0.9040613816112154,0,1,0,0,-0.5880586402315634,-1.2468593807760893,-0.6052315553367766,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9044624379846828,1.0366375860241843,1,0.8968613587424867,1.2143429238803911,0.07625216361426952,0,0,0,0,-0.500349896772829,1,1,0,1,0.8353496888149986
1841,-0.19135599577056242,-0.8831452762654267,-0.9617968092583978,-0.3374893957731903,1,0.7634637321540636,-1.7512659982558352,0,0.46331409415125124,0,0,0,1,0.8213918370817433,1.2282044867227526,0.9144100848100111,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.06932742657126716,0.020925106738953654,1,-0.8228302160912931,-0.45081000205104355,0.4046882894093315,0,0,0,0,-0.500349896772829,1,0,0,1,0.14707506683565255
1945,-0.2554180322414883,-0.9315312853373161,-0.24138749248588237,-0.361134577496489,1,0.8420086598063128,0.31356521968878376,0,0.1813444280954424,0,1,0,0,-1.1039533203043363,-0.7238168421076552,0.9144100848100111,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1072881089082406,0.2240676025959998,1,-0.8228302160912931,-0.45081000205104355,-0.33725535992725003,0,0,0,0,-0.94710618849287,0,0,0,1,0.0939933130361385
2013,-0.26116469838309325,-0.15735514018708532,0.06735935755948116,-0.3781295518601099,1,0.1351043109360697,-0.5713624451446244,0,0.26304477004521326,0,0,0,0,0.8213918370817433,-1.2468593807760893,0.15458926473661724,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0053222257569128,1.646065073595323,1,2.616552933576267,-0.29312241894727753,-0.49500952891680766,0,0,0,0,3.0737004369874987,1,0,0,1,0.052814124896135926
1350,-0.109325007861632,-0.2541271583308642,0.5819374409684207,-0.15645597320418503,1,0.5278289491973158,-1.7512659982558352,0,0.24381471673418068,0,0,0,1,0.8213918370817433,1.2282044867227526,0.15458926473661724,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.044554620439653164,0.020925106738953654,1,-0.33148976613878467,-0.5224810303694134,4.514392657817678,0,1,0,0,0.8399189783872938,1,0,0,1,0.4491224547191469
1980,-0.3370755720579571,-1.0766893125529844,-0.13847187580409484,-0.3692626087138729,1,-0.021985544368428755,0.9035169962443892,0,-0.5962360471703814,0,0,0,0,-1.1039533203043368,0.7051619480543181,0.15458926473661724,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3482400791354407,-0.1822173891180925,1,-0.08581954116253038,0.029548226088845327,0.04231692105529511,0,0,0,1,0.39316268666725285,1,0,0,1,0.07464066771378007
