budget,homepage,id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,genres_list,keywords_list,studios_list,actor_1,actor_2,actor_3,director,has_tagline,release_year,release_month
160000000.0,http://inceptionmovie.warnerbros.com/,27205,en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",167.58371,2010-07-14,825532764.0,148.0,Released,Your mind is the scene of the crime.,Inception,8.1,13752,Action|Thriller|Science Fiction|Mystery|Adventure,loss of lover|dream|kidnapping|sleep|subconsciousness|heist|redemption|female hero,Legendary Pictures|Warner Bros.|Syncopy,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Christopher Nolan,1,2010,7
185000000.0,http://thedarkknight.warnerbros.com/dvdsite/,155,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",187.322927,2008-07-16,1004558444.0,152.0,Released,Why So Serious?,The Dark Knight,8.2,12002,Drama|Action|Crime|Thriller,dc comics|crime fighter|secret identity|scarecrow|sadism|chaos|gotham city|vigilante|joker|superhero|based on comic book|tragic hero|organized crime|criminal mastermind|district attorney|imax|super villain|super powers|batman,DC Comics|Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy,Christian Bale,Heath Ledger,Aaron Eckhart,Christopher Nolan,1,2008,7
237000000.0,http://www.avatarmovie.com/,19995,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,2009-12-10,2787965087.0,162.0,Released,Enter the World of Pandora.,Avatar,7.2,11800,Action|Adventure|Fantasy|Science Fiction,culture clash|future|space war|space colony|society|space travel|futuristic|romance|space|alien|tribe|alien planet|cgi|marine|soldier|battle|love affair|anti war|power relations|mind and soul|3d,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Lightstorm Entertainment,Sam Worthington,Zoe Saldana,Sigourney Weaver,James Cameron,1,2009,12
220000000.0,http://marvel.com/avengers_movie/,24428,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",144.448633,2012-04-25,1519557910.0,143.0,Released,Some assembly required.,The Avengers,7.4,11776,Science Fiction|Action|Adventure,new york|shield|marvel comic|superhero|based on comic book|alien invasion|superhero team|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,Paramount Pictures|Marvel Studios,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Joss Whedon,1,2012,4
58000000.0,http://www.foxmovies.com/movies/deadpool,293660,en,Deadpool,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",514.569956,2016-02-09,783112979.0,108.0,Released,Witness the beginning of a happy ending,Deadpool,7.4,10995,Action|Adventure|Comedy,anti hero|mercenary|marvel comic|superhero|based on comic book|breaking the fourth wall|aftercreditsstinger|duringcreditsstinger|self healing,Twentieth Century Fox Film Corporation|Marvel Entertainment|The Donners' Company|TSG Entertainment|Kinberg Genre,Ryan Reynolds,Morena Baccarin,Ed Skrein,Tim Miller,1,2016,2
165000000.0,http://www.interstellarmovie.net/,157336,en,Interstellar,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,724.247784,2014-11-05,675120017.0,169.0,Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,10867,Adventure|Drama|Science Fiction,saving the world|artificial intelligence|father son relationship|single parent|nasa|expedition|wormhole|space travel|famine|black hole|dystopia|race against time|quantum mechanics|spaceship|space|rescue|family relationships|farmhouse|robot|astronaut|scientist|father daughter relationship|single father|farmer|space station|imax|astrophysics|zero gravity|courage|time paradox|relativity,Paramount Pictures|Legendary Pictures|Warner Bros.|Syncopy|Lynda Obst Productions,Matthew McConaughey,Jessica Chastain,Anne Hathaway,Christopher Nolan,1,2014,11
100000000.0,http://unchainedmovie.com/,68718,en,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",82.121691,2012-12-25,425368238.0,165.0,Released,"Life, liberty and the pursuit of vengeance.",Django Unchained,7.8,10099,Drama|Western,bounty hunter|hero|plantation|society|friendship|friends|revenge|rivalry|rescue|shootout|racism|danger|dentist|django|dual role|aftercreditsstinger|odd couple|black slave|deadly|chases and races|19th century,Columbia Pictures|The Weinstein Company,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Quentin Tarantino,1,2012,12
170000000.0,http://marvel.com/guardians,118340,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",481.098624,2014-07-30,773328629.0,121.0,Released,All heroes start somewhere.,Guardians of the Galaxy,7.9,9742,Action|Science Fiction|Adventure,marvel comic|spaceship|space|outer space|orphan|adventurer|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,Marvel Studios|Moving Picture Company (MPC)|Bulletproof Cupid|Revolution Sun Studios,Chris Pratt,Zoe Saldana,Dave Bautista,James Gunn,1,2014,7
75000000.0,http://www.thehungergames.movie/,70160,en,The Hunger Games,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",68.550698,2012-03-12,691210692.0,142.0,Released,May The Odds Be Ever In Your Favor.,The Hunger Games,6.9,9455,Science Fiction|Adventure|Fantasy,hallucination|dystopia|female protagonist|bow and arrow|knife throwing|knife fight|game|archery|blindness|glamour|roasted pig|sponsor|chariot|fictional tv show|mine explosion|based on young adult novel,Lionsgate|Color Force,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Gary Ross,1,2012,3
150000000.0,http://www.madmaxmovie.com/,76341,en,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",434.278564,2015-05-13,378858340.0,120.0,Released,What a Lovely Day.,Mad Max: Fury Road,7.2,9427,Action|Adventure|Science Fiction|Thriller,future|chase|post-apocalyptic|dystopia|australia|rescue|survival|on the run|convoy|peak oil|dark future,Village Roadshow Pictures|Kennedy Miller Productions|Warner Bros.,Tom Hardy,Charlize Theron,Nicholas Hoult,George Miller,1,2015,5
