,is_hit
3899,0
2147,0
3352,0
1022,0
785,1
1841,0
1945,0
2013,0
1350,0
1980,1
3250,0
2601,0
2791,0
1666,0
2265,1
3503,0
368,1
210,1
2758,0
2724,0
2103,1
1217,0
3083,0
1090,0
2137,0
1306,1
1361,1
3109,0
3681,0
76,1
1539,0
3682,0
3326,0
2454,0
1826,0
1326,0
976,1
1677,1
914,1
422,1
64,1
3599,0
2853,0
260,1
3133,0
195,1
350,1
3186,0
1794,1
990,0
3531,0
2259,0
2903,0
3583,0
2492,0
1908,1
1358,0
2996,0
2606,0
3208,0
3620,0
2163,0
2718,0
3524,0
69,1
185,1
2315,0
3541,0
3178,0
3778,0
54,1
2972,1
2842,0
410,1
3371,0
618,1
2234,1
290,1
1605,0
2496,0
2967,0
454,1
1850,1
846,1
857,1
2876,0
1778,1
1887,0
417,0
1978,1
525,1
1206,1
2611,0
1048,1
1072,0
1685,1
3751,0
3468,0
234,1
2775,0
1570,1
3613,0
2093,0
2352,0
2771,1
98,0
735,1
1351,1
162,1
2556,0
3510,0
3905,0
63,1
573,1
275,1
2746,0
2177,1
2735,0
1097,0
105,1
2703,0
2348,0
3871,0
1268,1
2871,0
3275,0
2971,0
3571,0
1318,0
1298,1
319,1
2045,0
1694,0
3287,0
316,1
2627,0
3213,0
111,1
336,1
1556,1
793,1
1622,1
3553,0
75,1
3394,0
390,1
3229,0
3702,0
2120,1
756,1
651,1
2214,0
1094,1
2196,0
331,1
3638,0
2907,0
3057,0
3449,0
3480,0
1852,0
431,1
1949,1
3487,0
629,1
387,1
814,0
1621,0
1272,0
2815,0
3438,0
1904,0
3607,0
1070,1
3270,0
3669,0
2520,0
3752,0
787,0
1486,0
507,1
213,1
2847,0
2622,0
2407,0
2507,0
1547,1
2054,0
2709,0
3362,0
1878,0
2869,0
2090,0
108,1
3183,0
283,1
2508,0
527,1
3704,0
3713,0
3110,0
2294,0
178,1
2754,0
3004,0
1050,0
907,1
1374,0
1831,0
3606,0
1159,1
308,1
3099,0
1078,1
443,0
1592,0
2858,0
2597,0
186,1
1897,1
1793,1
1109,1
430,1
1276,1
1510,1
1204,1
1965,1
1087,0
511,1
3496,0
3224,0
3356,0
764,1
529,1
2481,1
1928,0
3530,0
604,1
1770,1
493,0
1764,0
545,0
3716,0
1763,1
2513,1
631,1
3831,0
1903,1
919,0
666,1
3019,1
2334,0
3101,0
2101,1
1925,0
3565,1
727,0
1543,1
2067,0
3519,0
1368,1
3568,0
866,1
500,1
3010,0
551,1
3308,0
3622,0
153,1
44,1
2808,0
3779,0
809,0
82,1
3253,0
970,0
1385,1
244,0
271,1
475,1
1630,0
3228,0
1165,1
3312,0
1124,0
1457,1
897,1
806,1
2564,0
2447,0
539,0
2854,0
3838,0
1262,1
1089,1
449,0
541,1
2216,0
1799,1
1817,0
326,1
1397,1
3766,0
3593,0
2984,0
3108,0
1380,1
2830,1
3123,0
1058,0
3729,0
3855,0
2432,0
871,1
1981,0
1395,0
2911,0
3188,0
3786,0
1265,0
3761,0
1249,1
1093,1
2620,0
899,1
3866,0
3404,0
406,1
564,1
949,1
2777,0
510,1
1030,1
338,1
1074,1
2387,0
3546,0
1235,1
2947,0
2779,1
3163,0
3579,0
801,1
3064,0
927,1
2069,1
868,1
2531,0
1047,0
3059,0
1632,1
2576,1
464,1
112,1
1733,1
1143,1
323,1
1226,1
3013,0
1231,1
760,1
3176,0
2740,0
1647,0
996,0
2975,0
600,1
401,1
2536,0
2477,0
1330,1
2011,0
2651,0
1926,1
3091,0
2212,0
1579,1
293,1
174,1
245,1
442,1
233,1
1985,0
3007,0
1202,1
2263,0
3295,0
961,1
1138,1
3501,0
2450,1
1720,1
3695,0
1842,1
2759,1
1178,1
2887,0
3217,0
2256,0
778,1
3125,0
2648,0
1811,0
1879,1
3493,0
2860,0
2363,0
2366,1
1302,1
3796,0
1477,1
1808,1
580,1
2725,1
27,1
1824,1
1123,0
1126,1
1839,1
3314,0
1075,1
2322,0
134,0
3139,0
3077,0
3074,0
227,1
1169,1
2316,0
1886,1
327,1
2229,1
1027,1
601,1
1779,1
2500,0
2479,1
1254,1
2504,0
2157,0
1114,0
3791,0
2776,0
1172,0
156,1
3658,0
3657,0
204,1
2677,0
3469,0
1958,1
2071,1
1953,0
1654,0
2650,0
3721,0
3474,0
1063,1
2688,1
1106,0
218,1
385,1
486,1
1664,1
1004,1
3723,0
3708,0
1024,0
87,1
1328,1
1572,0
2336,0
851,1
3142,0
606,1
2331,0
2266,0
972,1
3233,1
754,1
3389,0
2732,1
1,1
2678,0
2938,0
1077,1
1768,1
1968,0
2437,0
1667,0
2405,0
1408,1
1716,1
2004,0
4,1
1911,1
1427,1
753,1
3106,0
535,1
3237,0
238,1
1028,0
2937,1
1759,1
3136,0
833,1
2395,0
3800,0
2115,1
2253,1
2345,0
2790,0
898,1
2737,0
391,1
377,1
2057,0
945,1
2098,1
3735,0
2132,0
906,1
3763,0
549,1
2990,0
2890,0
3030,0
804,1
1199,1
1783,0
2194,0
1053,0
2635,0
966,1
3093,0
1569,1
2851,0
1582,0
1264,0
1687,1
1073,1
45,1
465,1
515,1
201,1
2273,0
1370,1
3829,0
473,1
680,1
3699,0
774,0
339,0
109,1
1830,1
470,1
3381,0
2198,0
340,1
2748,0
536,1
1535,1
3507,0
3420,0
752,1
2173,1
74,1
3458,0
602,1
2288,0
1857,0
2784,0
2188,0
3231,0
1274,1
2143,0
1773,0
1712,1
1758,0
3284,0
2182,1
2927,0
962,1
3625,0
2511,0
860,0
3332,0
70,1
2235,1
3184,0
2826,0
3046,0
896,1
292,1
1421,1
3557,0
888,1
3495,0
1847,1
2672,0
951,1
1894,0
2095,0
3828,0
2895,0
175,0
3164,0
952,1
1492,0
964,1
344,1
3834,0
1365,1
722,1
1216,1
72,1
929,1
3052,0
1381,1
3365,0
2654,0
3563,0
2185,1
3146,0
3802,0
2382,0
2154,1
2944,0
1443,1
1727,1
1409,0
3801,0
2629,0
2569,1
1391,0
2632,0
2104,1
15,1
1709,0
35,1
2548,0
414,1
452,1
1060,1
3513,0
2649,0
2261,0
135,1
1003,1
2553,0
2443,0
2963,0
3384,0
3065,0
3517,0
124,1
2926,0
954,0
2129,1
569,1
3793,0
299,1
1900,0
2697,0
2487,0
3297,0
733,1
254,1
1848,0
3894,0
2834,0
1705,1
349,1
2018,0
2690,0
3339,0
974,1
1482,0
1800,1
361,0
3710,0
3771,0
3691,0
2655,0
2260,0
3296,0
71,1
1614,0
3129,0
1356,1
3002,0
2268,0
1641,0
2707,0
3246,0
3292,0
1147,1
3484,0
893,1
3619,1
1532,1
3459,0
960,0
362,1
2389,0
106,1
1441,1
2341,0
2681,0
120,1
981,0
2668,0
1470,1
2166,1
3497,0
1609,0
523,1
1108,1
435,1
2756,0
719,1
60,1
1039,1
560,1
1295,1
853,0
1422,0
2180,0
3816,0
3799,0
2884,0
1475,0
171,1
1704,0
1289,0
854,1
3360,0
2930,0
125,1
1348,0
3299,0
