,log_revenue
3899,9.259987311865595
2147,17.33293860060213
3352,15.816990693309524
1022,14.103036368207752
785,19.33812490636968
1841,17.423551959034715
1945,12.746482313937562
2013,16.867095142777465
1350,17.584086890729015
1980,17.978795081384714
3250,16.68340951682656
2601,15.899698567323068
2791,15.872283216057143
1666,15.519704314769015
2265,18.619279251187436
3503,16.118095750958314
368,18.956459923820983
210,19.62644818894696
2758,15.46012988270292
2724,16.80270438249071
2103,18.122780833403876
1217,16.54987813231892
3083,17.761970013037892
1090,17.25219090687176
2137,15.480252610579477
1306,18.000072383382445
1361,18.768455473222875
3109,15.891567377930862
3681,14.822007923221587
76,20.65494331001405
1539,17.723118410935506
3682,17.761970013037892
3326,17.19588088778656
2454,16.692952304609978
1826,17.761970013037892
1326,17.76058532609971
976,17.9031661488141
1677,18.16549179224735
914,18.63170807745271
422,19.319721970858033
64,20.387466576026245
3599,17.761970013037892
2853,15.466280222969914
260,20.309174803787407
3133,17.761970013037892
195,19.149600034602248
350,19.708914198986903
3186,17.761970013037892
1794,18.686357738342902
990,17.64894890890919
3531,14.931307999040428
2259,17.744924382655586
2903,17.761970013037892
3583,17.761970013037892
2492,16.961295640817006
1908,18.019849652186014
1358,16.38512930453304
2996,12.144872545658002
2606,17.176392101709528
3208,16.06496698910333
3620,11.873755763452438
2163,15.87876212136611
2718,17.312028361802543
3524,12.142467022441204
69,20.09190025758523
185,20.013722061929226
2315,17.548862893991245
3541,14.02034756229584
3178,16.159666580956372
3778,17.761970013037892
54,19.31703980116409
2972,17.914035901859997
2842,17.761970013037892
410,19.764932222342033
3371,17.761970013037892
618,18.86181129760479
2234,18.72580973737815
290,20.4590664877404
1605,17.54426993098455
2496,16.977587857166185
2967,17.21724666115659
454,18.7922443072814
1850,17.900118102247056
846,19.60005506305781
857,18.914625581603826
2876,15.60786784846158
1778,18.213321549153616
1887,17.419210864621338
417,17.34968065538676
1978,18.375777474012875
525,18.652343979470302
1206,18.729270972084446
2611,17.761970013037892
