title,release_year,release_month,month_name,budget_musd,revenue_musd,predicted_revenue_musd,hit_probability_pct,risk_score,is_hit,is_flop,predicted_is_hit,is_major_studio,is_indie,studio_type,primary_genre,has_franchise,has_superhero,has_imax,director_median_revenue_musd
Inception,2010,7,July,160.0,825.53,759.16,97.3,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,485.99
The Dark Knight,2008,7,July,185.0,1004.56,715.97,96.8,25.0,1,0.0,1,1,0,Major Studio,Action,0,1,1,460.42
Avatar,2009,12,December,237.0,2787.97,1001.44,98.3,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,515.93
The Avengers,2012,4,April,220.0,1519.56,1118.86,98.3,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,722.14
Deadpool,2016,2,February,58.0,783.11,445.26,96.0,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,51.75
Interstellar,2014,11,November,165.0,675.12,530.2,95.7,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,1,507.48
Django Unchained,2012,12,December,100.0,425.37,507.79,97.9,25.0,1,0.0,1,1,0,Major Studio,Other,1,0,0,153.75
Guardians of the Galaxy,2014,7,July,170.0,773.33,738.84,97.3,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,0.32
The Hunger Games,2012,3,March,75.0,691.21,515.86,97.5,0.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,86.69
Mad Max: Fury Road,2015,5,May,150.0,378.86,525.51,97.8,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,127.45
Fight Club,1999,10,October,63.0,100.85,215.28,89.8,25.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,226.5
The Dark Knight Rises,2012,7,July,250.0,1084.94,795.48,97.8,25.0,1,0.0,1,1,0,Major Studio,Action,0,1,1,448.93
The Matrix,1999,3,March,63.0,463.52,425.04,97.1,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,289.71
Iron Man 3,2013,4,April,200.0,1215.44,820.3,97.8,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,15.79
Iron Man,2008,4,April,140.0,585.17,855.35,98.3,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,366.74
The Lord of the Rings: The Fellowship of the Ring,2001,12,December,93.0,871.37,835.99,97.2,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,703.41
Jurassic World,2015,6,June,150.0,1513.53,737.71,97.4,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,4.01
